date,open,high,low,close,ubb,lbb,aboveup,belowlow
"""May 24, 2016 """,31.29,31.83,31.195,31.68,31.8339,28.4821,FALSE,FALSE
"""May 25, 2016 """,31.69,32.36,31.68,32.06,32.1217,28.4573,FALSE,FALSE
"""May 26, 2016 """,32.01,32.77,31.85,32.51,32.4796,28.3714,TRUE,FALSE
"""May 27, 2016 """,32.42,32.48,31.82,32.03,32.643,28.503,FALSE,FALSE
"""May 31, 2016 """,31.96,32.38,31.82,32.35,32.8221,28.6539,FALSE,FALSE
"""June 1, 2016 """,33.2,34.135,33.16,33.94,33.3071,28.6879,TRUE,FALSE
"""June 2, 2016 """,33.97,34.35,33.67,34.32,33.7308,28.8452,TRUE,FALSE
"""June 3, 2016 """,34.28,34.32,33.66,34.07,34.1519,28.8101,FALSE,FALSE
"""June 6, 2016 """,34.77,35.27,34.62,34.91,34.6869,28.7761,TRUE,FALSE
"""June 7, 2016 """,34.83,35.53,34.8,35.17,35.209,28.739,FALSE,FALSE
"""June 8, 2016 """,35.31,35.58,35.045,35.15,35.6339,28.8011,FALSE,FALSE
"""June 9, 2016 """,35.05,35.1,34.58,34.78,35.9278,28.9322,FALSE,FALSE
"""June 10, 2016 """,34.49,34.595,34.13,34.31,36.0927,29.1473,FALSE,FALSE
"""June 13, 2016 """,34.23,34.3,33.45,33.49,36.1011,29.4579,FALSE,FALSE
"""June 14, 2016 """,33.09,33.579,32.43,32.52,36.0354,29.7276,FALSE,FALSE
"""June 15, 2016 """,31.67,31.94,30.84,30.92,35.9935,29.8155,FALSE,FALSE
"""June 16, 2016 """,30.72,31.09,30.585,30.82,35.944,29.913,FALSE,FALSE
"""June 17, 2016 """,30.85,30.86,30.45,30.57,35.9717,29.8563,FALSE,FALSE
"""June 20, 2016 """,30.85,31.12,30.415,30.42,36.0516,29.6664,FALSE,FALSE
"""June 21, 2016 """,30.3,30.82,30.3,30.37,36.1131,29.5259,FALSE,FALSE
"""June 22, 2016 """,30.37,30.64,30.1,30.36,36.1858,29.3212,FALSE,FALSE
"""June 23, 2016 """,30.62,30.89,30.53,30.67,36.2243,29.1437,FALSE,FALSE
"""June 24, 2016 """,29.95,30.9,29.877,30.76,36.2348,28.9582,FALSE,FALSE
"""June 27, 2016 """,30.54,31.33,30.51,31.25,36.2357,28.8793,FALSE,FALSE
"""June 28, 2016 """,31.35,31.78,31.075,31.33,36.2229,28.7901,FALSE,FALSE
"""June 29, 2016 """,31.36,31.56,31.065,31.43,36.0647,28.6973,FALSE,FALSE
"""June 30, 2016 """,31.57,32.08,31.43,32.02,35.8424,28.6896,FALSE,FALSE
"""July 1, 2016 """,32.02,33.19,32,32.68,35.6829,28.7101,FALSE,FALSE
"""July 5, 2016 """,32.66,32.66,32.12,32.31,35.3249,28.8081,FALSE,FALSE
"""July 6, 2016 """,32.35,33.25,32.31,33.16,34.9476,28.9844,FALSE,FALSE
"""July 7, 2016 """,33.28,33.63,33.065,33.28,34.5506,29.1944,FALSE,FALSE
"""July 8, 2016 """,33.49,33.86,33.421,33.58,34.2723,29.3527,FALSE,FALSE
"""July 11, 2016 """,33.7,33.99,33.47,33.61,34.1108,29.4442,FALSE,FALSE
"""July 12, 2016 """,33.69,33.82,33.25,33.38,34.0896,29.4544,FALSE,FALSE
"""July 13, 2016 """,33.58,33.92,33.23,33.76,34.2905,29.3775,FALSE,FALSE
"""July 14, 2016 """,33.88,34,33.55,33.58,34.4981,29.436,FALSE,FALSE
"""July 15, 2016 """,33.73,33.74,33.13,33.16,34.6085,29.5595,FALSE,FALSE
"""July 18, 2016 """,33.16,33.63,33.02,33.38,34.7087,29.7402,FALSE,FALSE
"""July 19, 2016 """,33.19,33.24,32.61,32.78,34.6933,29.9917,FALSE,FALSE
"""July 20, 2016 """,32.81,33.09,32.54,33.04,34.661,30.291,FALSE,FALSE
"""July 21, 2016 """,32.97,33.35,32.931,33.17,34.5903,30.6427,FALSE,FALSE
"""July 22, 2016 """,33.16,33.79,33.11,33.72,34.5825,30.9555,FALSE,FALSE
"""July 25, 2016 """,34.22,34.67,34.01,34.57,34.6872,31.2318,FALSE,FALSE
"""July 26, 2016 """,33.915,34.55,33.915,34.11,34.7098,31.4952,FALSE,FALSE
"""July 27, 2016 """,33.94,34.47,33.52,33.64,34.6179,31.8181,FALSE,FALSE
"""July 28, 2016 """,31.88,31.92,30.26,30.61,34.8122,31.5418,FALSE,TRUE
"""July 29, 2016 """,30.7,30.93,30.25,30.48,35.0589,31.1411,FALSE,TRUE
"""August 1, 2016 """,30.33,30.87,30.3,30.41,35.2663,30.7067,FALSE,TRUE
"""August 2, 2016 """,30.35,30.54,30.02,30.16,35.4592,30.2988,FALSE,TRUE
"""August 3, 2016 """,30.07,30.46,30.02,30.4,35.5329,29.9491,FALSE,FALSE
"""August 4, 2016 """,30.78,30.93,30.12,30.39,35.556,29.637,FALSE,FALSE
"""August 5, 2016 """,30.45,30.6,30.215,30.3,35.5167,29.3483,FALSE,FALSE
"""August 8, 2016 """,30.25,30.71,30.25,30.64,35.4128,29.1552,FALSE,FALSE
"""August 9, 2016 """,30.74,30.96,30.4,30.52,35.3174,28.9646,FALSE,FALSE
"""August 10, 2016 """,30.51,30.65,30.185,30.41,35.1441,28.8029,FALSE,FALSE
"""August 11, 2016 """,30.49,30.82,30.3122,30.42,34.965,28.666,FALSE,FALSE
"""August 12, 2016 """,30.45,30.96,30.38,30.9,34.8128,28.5922,FALSE,FALSE
"""August 15, 2016 """,30.9,31.22,30.71,31.13,34.611,28.569,FALSE,FALSE
"""August 16, 2016 """,31.08,31.21,30.59,30.63,34.4794,28.4856,FALSE,FALSE
"""August 17, 2016 """,30.7,30.75,29.92,30.22,34.2971,28.3859,FALSE,FALSE
"""August 18, 2016 """,30.24,30.47,30.065,30.21,34.0632,28.3238,FALSE,FALSE
"""August 19, 2016 """,30.2,30.5,30.17,30.28,33.6686,28.3744,FALSE,FALSE
"""August 22, 2016 """,30.31,31.21,30.31,31.01,32.932,28.755,FALSE,FALSE
"""August 23, 2016 """,31.19,31.35,30.52,30.56,32.1213,29.2107,FALSE,FALSE
